———————————————————————————————武器————————————————————————————,,,,,,,,,,,,,,,,,,
莲花教团,“神经突触”短剑,T2,近战,知识,d6+3 物理,单手,解析: 成功命中可选不掷伤害骰，而向主持人提出一个关于目标战斗能力的问题（它的弱点是什么？它的难度是多少？），并使其陷入【脆弱】。,剑柄连接着数根微光的炼金导管。它能精准地刺入目标的神经节点，读取其战斗信息。,,,,,,,,,,
酒与歌游击队,“随便什么”伐木斧, T3,近战,力量,d10+6 物理,双手,临时改造: 每场战斗一次，将任何一件临时找到的物品绑在这把斧头上。与主持人商议，使你的下一次攻击获得一个一次性效果（施加【点燃】、【眩晕】等）。,游击队员们擅长就地取材，将一切能用的东西都绑在上面，让每一次挥舞都充满惊喜。,,,,,,,,,,
方舟国,指挥官制式长牙剑,T2,近战,风度,d8+4 物理,单手,领袖:每场战斗1次，一次成功的攻击后，立即对近距离范围内的一名盟友下达一个指令。该盟友可以立即执行一次动作掷骰，并且掷骰结果+2。恐惧时，被指令者的记忆会倒灌至你的脑中，额外标记1压力。,只有在方舟国军队中获得卓越功勋的军官，才有资格佩戴的仪式性长剑。其剑柄上镶嵌的月光虎牙碎片，能将持有者的意志传达给部下。,,,,,,,,,,
烬台城法师,火山玻璃仪式匕首,T3,近战,知识,d8+3 魔法,单手,火祭：当你施法时，你可以标记 1 生命点（此伤害无法被减免）。当你这样做时，你的该次施法掷骰获得 +3 加值。,烬台城的法师们相信，最强大的魔法源于最极致的情感与牺牲。这柄由荒原鸟琉璃羽毛磨制而成的匕首，便是这种理念的体现。每一次割开手掌，都是一次与原始魔力更深层的连接。,,,,,,,,,,
四圣寺, “静雨”数珠,T3,远距离,知识,d6 +6 魔法,单手,因果计算: 此武器成功攻击一个敌人，可以获知其一个确切的数字，但不知其含义（剩余生命点、伤害阈值、难度）。,由天龙寺的数学家僧侣们用静雨湖底的玉石串成的念珠，既是冥想的工具，也是计算世间因果的法器。,,,,,,,,,,
烬台城法师,咒火塑能法杖,T3,极远,风度,d6+6 魔法,双手,"高危火焰：每场战斗1次，在攻击前宣布“过载”，你额外造成 2d20伤害。
然后投掷一颗 d6。1-3：你受到等量额外伤害。4-5：距离你最近的一名盟友受到等量额外伤害。6：另一名敌人受到等量额外伤害。",“真正的塑能大师从不控制火焰，他们只是为火焰指出一个大致的方向，然后欣赏随之而来的……壮丽毁灭。”,,,,,,,,,,
四圣寺,“止水”剑,T3,近战,本能, d8+6 物理,单手,心如止水：当你的已标记压力点为0时，你的攻击掷骰获得 +3 加值。攻击掷骰未命中时恢复1压力。,"“心起波澜，剑起涟漪；心若止水，剑亦无形。”
——械灵僧侣 镜空",,,,,,,,,,
莲花教团,“静莲”注灵剑,T3,近战,风度,d10+3 魔法,单手,法术之种：每休息一次。你可以通过施法将一个伤害性法术储存在此剑中，在一次攻击命中后释放。,莲花本人使用过的魔法长剑的复制品。“法术的美妙，不在毁灭性的力量，而在时机的掌控。”——莲花,,,,,,,,,,
酒与歌游击队,合动力回旋镖,T3,远距离,灵巧,d6 物理,单手,传递：使用时可选择在队友间传递，接力的队友需进行一次灵巧反应掷骰10。每成功一次则提升伤害骰等级（d8/d10/d12/d20）,游击队员，动力回旋。星星之火，可以燎原。,,,,,,,,,,
磐石残党,方舟龟甲塔盾-Ⅰ,T2,近战,力量,d6+2 物理,副手,生根:花费1希望点，你可以将塔盾插入地面。直到你再次移动前，你及身后近距离内的盟友获得-4伤害。,一面绘有初代国王徽记的巨大矩形盾牌，虽然漆面剥落，但盾体由森巨龟蟒褪下的甲壳混合黑铁铸造，坚不可摧。,,,,,,,,,,
莲花教团,折光十二面法杖,T3,远距离,知识,d6+6 魔法,双手,折光: 成功对敌人造成伤害时，若伤害为偶数，你获得1希望点；若为奇数，敌人陷入【脆弱】。恐惧结果时，过量的数据冲入脑海，你标记1压力点。,顶端悬浮着一颗正在高速旋转的十二面体水晶，不断地浮动着数字。,,,,,,,,,,
四圣寺,四时流转念珠,T3,邻近,力量,d4+10 物理,双手,四象共鸣: 攻击命中时，如果伤害骰d4出现相同数字：1=土(临时护甲+1)，2=火(点燃)，3=水(束缚)，4=风(推开),一串巨大的念珠，每一颗都雕刻着不同的圣兽图腾，甩动时如同流星锤般威力巨大。,,,,,,,,,,
酒与歌游击队,“惊喜”鲁特琴,T3,远距离,风度,d6+3 魔法,双手,藏剑: 每休息1次，标记1压力点，立即使用你的备用武器进行攻击。此次攻击具有优势，且标记目标1d4压力点。,一把走调的破旧鲁特琴，琴颈拔出是一把小匕首，琴身可以藏很多武器，曾用来刺杀国王莱伦，但失败了。,,,,,,,,,,
酒与歌游击队,燃烧瓶发射器,T2,近距离,灵巧,d8 魔法,双手,全弹发射：发射全部弹药，造成4d12邻近范围伤害，无论敌友，武器损坏。,用废弃的排气管改造的发射器，上面歪歪扭扭地写着：“送给方舟国的热吻”。,,,,,,,,,,
酒与歌游击队,命运左轮,T3,远距离,敏捷,d6+6 物理,单手,轮盘赌: 攻击前猜大小（d6）。猜对：伤害翻倍。猜错：武器卡壳，无法攻击，标1压力点重装填。,一把用荒原鸟重生火山石驱动的改装左轮，在这个疯狂的世界里，运气也是实力的一部分。,,,,,,,,,,
方舟国,灵体振荡刀,T3,近战,灵巧,d8+9 物理,单手,标记1压力启动-灵体斩: 攻击命中后，不标记生命点，而是标记（生命点+1）压力点。恐惧结果：使用者标记1压力，描述一个被暂时抽离的记忆。,这把刀没有实体的刀刃，只有一个嗡嗡作响的银色的发生器，开启后会投射出一道不稳定的、灰白色的“月光”利刃。,,,,,,,,,,
磐石残党,“理性之光”提灯步枪,T3,远距离,知识,d6+4 魔法,双手,驱散异变：对经受太一大陆异变（主持人判定）的攻击对象额外+6伤害。, 一把将单发步枪和黄铜提灯结合在一起的奇异武器。“我们用光照亮失落的信仰，也用光消灭物质的敌人。”,,,,,,,,,,
酒与歌游击队,影牙弹簧刀,T3,近战,敏捷, d6+2 物理,副手,偷袭：刀本体【隐形】，主手武器攻击成功时，可以标记1压力施加【流血】：受到攻击额外受到1d8伤害。,月光虎的脱落的虎牙碎片制成。“它并不光彩，也不神圣，但它能切开喉咙。这就够了。”,,,,,,,,,,
磐石残党,龙甲大剑,T3,近战,力量,d10+7 物理,双手,（力量+4可持有）+1护甲值。处决: 如果你的目标处于【眩晕】或【束缚】状态，伤害骰变为d20。,直接用天空龙的巨大甲片打磨而成，沉重得只有穿着动力甲或天生神力者才能挥动。剑身上刻着“不可遗忘”。,,,,,,,,,,
四圣寺,“焚心”琵琶,T2,远距离,风度,d6+3  魔法,双手,心火: 对标记超过2点压力的目标额外造成2d6点伤害。,琴弦由荒原鸟的羽线制成，弹奏时心烦意乱的敌人会燃起焚烧内心的火。,,,,,,,,,,
四圣寺,“无相”手套,T3,近战,本能,d10+6 物理,双手,水无常形: 标记1压力，可以变为“鞭”：邻近，-2伤害骰。或“盾”：受伤-3，-4伤害骰。（可与主持人商议变为其它形态）,一团依附在手上的银色液态金属，随着使用者的心意瞬间固化或流动。,,,,,,,,,,
方舟国,“龙之眼”长弓,T3,极远,本能,d6+6物理,双手,引导：选定目标进行一次施法掷骰（17），若成功接下来3次攻击必定命中。,将天空龙俯瞰世间的一只眼睛（微型监视器）安装在长弓握把处，当它的眼睛锁定一个敌人后，所有经由它射出的箭矢都将嵌入那个敌人的头颅。,,,,,,,,,,
—————————————————————————————魔法物品/消耗品——————————————————————————,,,,,,,,,,,,,,,,,,
四圣寺,“神圣链接”祷告毯,T1,每休息1次，铺在地上朝所想的圣兽的方向祈求祂的祝福。北：恢复1点生命点。南：下一次施法掷骰获得优势。西：清除1点压力。东：获得1点临时护甲。,,,,,,,,,,,,,,,
酒与歌游击队,醉仙酒壶,T3,每休息1次，当其中装满酒时，一口饮尽其中的酒，下1次近战攻击掷骰结果-3，伤害骰熟练值+2。,,,,,,,,,,,,,,,
酒与歌游击队,“流浪者”炊具,T2,"在进行一次休整期间时，你可以将一些食材放入锅中烹饪。所有享用食物的盟友，除了正常的休息恢复外，还可以额外清除 1 压力点或获得 1 希望点。
",,,,用荒原鸟重生留下的黑曜石打造而成的锅具。“只要锅还在，希望就在。”——某位游击队伙夫长。,,,,,,,,,,,
磐石残党,初代国王的纪念徽章 ,T3,每长休一次，你可以高举这枚徽章，并复述初代国王沃肯演讲中的一句名言（由玩家扮演）。所有能听到你声音的盟友，都可以立即清除 2 点压力。并且你在下次风度掷骰中获得优势,,,,“不要向神明祈祷风暴的止息，要学会驾驶足以穿越风暴的方舟。”——初代国王沃肯。,,,,,,,,,,,
